Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;20.000000;dBm
Level Offset;0.000000;dB
Rf Att;30.000000;dB
El Att;0.000000;dB
RBW;3000.000000;Hz
VBW;1000.000000;Hz
SWT;0.002100;s
Sweep Count;0;
Window;1;TOI
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
1420275129.8701198101;-82.90906524658203125;-86.766387939453125
1420276128.871118784;-82.98126220703125;-85.103912353515625
1420277127.8721177578;-83.9095001220703125;-84.7378692626953125
1420278126.8731167316;-84.36838531494140625;-85.514251708984375
1420279125.8741157055;-83.992034912109375;-89.34531402587890625
1420280124.8751146793;-82.11894989013671875;-89.11940765380859375
1420281123.8761136532;-80.67319488525390625;-87.94017791748046875
1420282122.877112627;-79.7541656494140625;-89.41651153564453125
1420283121.8781116009;-79.3382110595703125;-93.1998443603515625
1420284120.8791105747;-79.34705352783203125;-92.344390869140625
1420285119.8801095486;-79.98125457763671875;-87.81243133544921875
1420286118.8811085224;-81.57330322265625;-88.7346954345703125
1420287117.8821074963;-83.42536163330078125;-91.04888153076171875
1420288116.8831064701;-82.9172210693359375;-94.73824310302734375
1420289115.884105444;-81.49416351318359375;-98.5440826416015625
1420290114.8851044178;-80.71302032470703125;-89.7310333251953125
1420291113.8861033916;-80.74871063232421875;-84.34197998046875
1420292112.8871023655;-82.1971282958984375;-84.726593017578125
1420293111.8881013393;-83.73227691650390625;-90.85665130615234375
1420294110.8891003132;-86.00725555419921875;-91.11698150634765625
1420295109.890099287;-90.25292205810546875;-96.5672149658203125
1420296108.8910982609;-88.16181182861328125;-101.7883148193359375
1420297107.8920972347;-86.582611083984375;-96.581298828125
1420298106.8930962086;-86.50832366943359375;-92.6885528564453125
1420299105.8940951824;-87.86284637451171875;-93.90169525146484375
1420300104.8950941563;-85.44960784912109375;-89.73525238037109375
1420301103.8960931301;-84.24620819091796875;-87.57110595703125
1420302102.897092104;-84.64585113525390625;-87.355438232421875
1420303101.8980910778;-86.72274017333984375;-92.52239990234375
1420304100.8990900517;-83.16538238525390625;-90.20157623291015625
1420305099.9000890255;-79.64556121826171875;-90.09896087646484375
1420306098.9010879993;-79.399505615234375;-86.0938720703125
1420307097.9020869732;-81.1476593017578125;-85.01128387451171875
1420308096.903085947;-82.00616455078125;-93.10607147216796875
1420309095.9040849209;-81.41778564453125;-88.96392059326171875
1420310094.9050838947;-81.404022216796875;-87.929901123046875
1420311093.9060828686;-81.95127105712890625;-87.5370025634765625
1420312092.9070818424;-83.1609344482421875;-87.64704132080078125
1420313091.9080808163;-83.66364288330078125;-88.72850799560546875
1420314090.9090797901;-82.73614501953125;-90.43830108642578125
1420315089.910078764;-82.6474456787109375;-91.5188751220703125
1420316088.9110777378;-83.2327880859375;-92.40248870849609375
1420317087.9120767117;-85.1147308349609375;-92.3699798583984375
1420318086.9130756855;-87.7583770751953125;-95.16411590576171875
1420319085.9140746593;-86.8463134765625;-93.70522308349609375
1420320084.9150736332;-85.81334686279296875;-89.83925628662109375
1420321083.916072607;-85.122528076171875;-90.0671539306640625
1420322082.9170715809;-85.2486572265625;-90.09737396240234375
1420323081.9180705547;-86.1977081298828125;-88.99098968505859375
1420324080.9190695286;-86.91870880126953125;-89.30553436279296875
1420325079.9200685024;-87.51697540283203125;-90.92772674560546875
1420326078.9210674763;-83.572906494140625;-86.83231353759765625
1420327077.9220664501;-81.85689544677734375;-83.926116943359375
1420328076.923065424;-80.0711517333984375;-82.770965576171875
1420329075.9240643978;-79.9572296142578125;-83.79180145263671875
1420330074.9250633717;-81.1299896240234375;-84.56401824951171875
1420331073.9260623455;-82.02266693115234375;-85.28150177001953125
1420332072.9270613194;-81.71582794189453125;-85.52358245849609375
1420333071.9280602932;-81.66614532470703125;-83.176055908203125
1420334070.929059267;-81.90021514892578125;-84.5861358642578125
1420335069.9300582409;-83.02326202392578125;-86.7397003173828125
1420336068.9310572147;-84.00238800048828125;-85.38422393798828125
1420337067.9320561886;-83.15899658203125;-84.5953521728515625
1420338066.9330551624;-82.55657196044921875;-84.6336517333984375
1420339065.9340541363;-82.47251129150390625;-84.481781005859375
1420340064.9350531101;-82.44390106201171875;-84.10872650146484375
1420341063.936052084;-81.33615875244140625;-86.86269378662109375
1420342062.9370510578;-80.70011138916015625;-90.81006622314453125
1420343061.9380500317;-80.796905517578125;-91.66721343994140625
1420344060.9390490055;-82.3255767822265625;-91.99981689453125
1420345059.9400479794;-85.9480133056640625;-92.2421417236328125
1420346058.9410469532;-87.208465576171875;-88.947357177734375
1420347057.942045927;-85.38744354248046875;-87.95929718017578125
1420348056.9430449009;-77.51294708251953125;-88.35541534423828125
1420349055.9440438747;-46.55585479736328125;-64.7247161865234375
1420350054.9450428486;-27.825513839721679688;-39.4609527587890625
1420351053.9460418224;-14.9579620361328125;-23.007625579833984375
1420352052.9470407963;-6.1413445472717285156;-11.620574951171875
1420353051.9480397701;-0.56336045265197753906;-0.56336045265197753906
1420354050.949038744;2.1758267879486083984;2.1758267879486083984
1420355049.9500377178;2.5163526535034179688;2.5163526535034179688
1420356048.9510366917;1.6832712888717651367;1.6832712888717651367
1420357047.9520356655;-1.8242294788360595703;-1.8242294788360595703
1420358046.9530346394;-8.25635528564453125;-14.394387245178222656
1420359045.9540336132;-18.101861953735351563;-27.017477035522460938
1420360044.9550325871;-32.359836578369140625;-45.358417510986328125
1420361043.9560315609;-53.40189361572265625;-74.51551055908203125
1420362042.9570305347;-83.9454498291015625;-89.4207763671875
1420363041.9580295086;-82.07971954345703125;-84.70847320556640625
1420364040.9590284824;-80.76728057861328125;-81.66937255859375
1420365039.9600274563;-80.43155670166015625;-81.3513031005859375
1420366038.9610264301;-80.634796142578125;-84.65471649169921875
